2025-12-04T11:13:30.305470 | Nounouch1 | 25.8°C | 67.4%
2025-12-04T11:13:38.369480 | Nounouch1 | 25.8°C | 67.4%
2025-12-04T11:13:46.449125 | Nounouch1 | 25.8°C | 67.4%
2025-12-04T11:13:54.514656 | Nounouch1 | 25.8°C | 67.3%
2025-12-04T11:14:02.567109 | Nounouch1 | 25.8°C | 67.4%
2025-12-04T11:14:10.632850 | Nounouch1 | 25.7°C | 67.4%
2025-12-04T11:14:18.695010 | Nounouch1 | 25.7°C | 67.4%
2025-12-04T11:14:26.743854 | Nounouch1 | 25.7°C | 67.5%
2025-12-04T11:14:34.808294 | Nounouch1 | 25.7°C | 67.4%
2025-12-04T11:14:42.875934 | Nounouch1 | 25.7°C | 67.5%
2025-12-04T11:14:50.942947 | Nounouch1 | 25.8°C | 67.5%
2025-12-04T11:45:06.799663 | Nounouch1 | 25.9°C | 67.0%
2025-12-04T11:45:12.062836 | Nounouch1 | 25.9°C | 67.0%
2025-12-04T11:45:17.150874 | Nounouch1 | 25.8°C | 66.9%
2025-12-04T11:45:22.236911 | Nounouch1 | 25.8°C | 66.9%
2025-12-04T11:45:27.337634 | Nounouch1 | 25.9°C | 67.0%
2025-12-04T11:45:32.448187 | Nounouch1 | 25.9°C | 66.9%
2025-12-04T11:45:37.598791 | Nounouch1 | 25.7°C | 67.0%
2025-12-04T11:45:42.771895 | Nounouch1 | 25.8°C | 66.8%
2025-12-04T11:45:47.901132 | Nounouch1 | 25.9°C | 67.0%
2025-12-04T11:45:53.054522 | Nounouch1 | 25.8°C | 66.9%
2025-12-04T11:45:58.214906 | Nounouch1 | 25.8°C | 66.9%
2025-12-04T11:46:03.393792 | Nounouch1 | 25.8°C | 67.0%
2025-12-04T11:46:08.543872 | Nounouch1 | 25.9°C | 67.0%
2025-12-04T11:49:43.104497 | Nounouch1 | 25.7°C | 66.8%
2025-12-04T11:49:48.209918 | Nounouch1 | 25.8°C | 66.7%
2025-12-04T11:49:53.347046 | Nounouch1 | 25.9°C | 66.7%
2025-12-04T11:50:36.399644 | Nounouch1 | 25.9°C | 66.7%
2025-12-04T11:50:41.534700 | Nounouch1 | 25.8°C | 66.7%
2025-12-04T11:50:46.710476 | Nounouch1 | 25.9°C | 66.7%
2025-12-04T12:01:00.529162 | Nounouch1 | 26.0°C | 65.7%
2025-12-04T12:01:05.629380 | Nounouch1 | 26.1°C | 65.8%
2025-12-04T12:01:10.749002 | Nounouch1 | 26.1°C | 65.7%
2025-12-04T12:10:00.339940 | Nounouch1 | 26.1°C | 65.0%
2025-12-04T12:10:05.416699 | Nounouch1 | 26.1°C | 65.1%
2025-12-04T12:10:10.703219 | Nounouch1 | 26.1°C | 65.0%
2025-12-04T12:11:49.173077 | Nounouch1 | 26.0°C | 64.8%
2025-12-04T12:11:54.284718 | Nounouch1 | 26.1°C | 64.9%
2025-12-04T12:11:59.399605 | Nounouch1 | 26.0°C | 64.9%
2025-12-04T12:12:04.519496 | Nounouch1 | 26.0°C | 64.8%
2025-12-04T12:12:09.668260 | Nounouch1 | 26.1°C | 64.9%
2025-12-04T12:12:14.774423 | Nounouch1 | 26.1°C | 64.8%
2025-12-04T12:12:20.065143 | Nounouch1 | 26.1°C | 64.9%
2025-12-04T12:12:25.212404 | Nounouch1 | 26.1°C | 64.8%
2025-12-04T12:12:30.338573 | Nounouch1 | 26.1°C | 64.8%
2025-12-04T12:12:35.483726 | Nounouch1 | 26.1°C | 64.8%
2025-12-04T12:29:51.751515 | Nounouch1 | 26.2°C | 58.9%
2025-12-04T12:29:56.853808 | Nounouch1 | 26.1°C | 58.8%
2025-12-04T12:30:01.960412 | Nounouch1 | 26.2°C | 58.8%
2025-12-04T12:32:17.198545 | Nounouch1 | 26.0°C | 57.0%
2025-12-04T12:32:22.310565 | Nounouch1 | 25.9°C | 57.0%
2025-12-04T12:32:27.596107 | Nounouch1 | 25.9°C | 57.0%
2025-12-04T12:35:11.515167 | Nounouch1 | 26.1°C | 56.6%
2025-12-04T12:35:16.585684 | Nounouch1 | 26.1°C | 56.5%
2025-12-04T12:35:21.667588 | Nounouch1 | 26.1°C | 56.5%
2025-12-04T12:35:26.745225 | Nounouch1 | 26.0°C | 56.5%
2025-12-04T12:35:31.817068 | Nounouch1 | 26.0°C | 56.6%
2025-12-04T12:37:09.975665 | Nounouch1 | 26.0°C | 56.4%
2025-12-04T12:37:15.063290 | Nounouch1 | 26.1°C | 56.3%
2025-12-04T12:37:20.156172 | Nounouch1 | 26.1°C | 56.4%
2025-12-04T12:43:30.696724 | Nounouch1 | 26.2°C | 57.4%
2025-12-04T12:43:38.784222 | Nounouch1 | 26.1°C | 57.4%
2025-12-04T12:43:46.847431 | Nounouch1 | 26.1°C | 57.3%
2025-12-04T12:43:54.916185 | Nounouch1 | 26.1°C | 57.5%
2025-12-04T12:44:02.970462 | Nounouch1 | 26.2°C | 57.5%
2025-12-04T12:44:11.051382 | Nounouch1 | 26.1°C | 57.5%
2025-12-04T12:44:19.114967 | Nounouch1 | 26.2°C | 57.4%
2025-12-04T12:44:27.173786 | Nounouch1 | 26.2°C | 57.2%
2025-12-04T12:44:35.251815 | Nounouch1 | 26.2°C | 57.3%
2025-12-04T12:44:43.326052 | Nounouch1 | 26.2°C | 57.2%
2025-12-04T12:44:51.415593 | Nounouch1 | 26.1°C | 57.3%
2025-12-04T12:44:59.483997 | Nounouch1 | 26.1°C | 57.2%
2025-12-04T12:45:07.570508 | Nounouch1 | 26.2°C | 57.1%
2025-12-04T12:45:15.635203 | Nounouch1 | 26.3°C | 57.2%
2025-12-04T12:45:23.697971 | Nounouch1 | 26.2°C | 57.1%
2025-12-04T12:55:48.279688 | Nounouch1 | 26.0°C | 56.2%
2025-12-04T13:01:28.271701 | Nounouch1 | 26.1°C | 56.0%
2025-12-04T13:02:02.867960 | Nounouch1 | 26.2°C | 56.1%
2025-12-04T13:06:40.671860 | Nounouch1 | 26.1°C | 55.9%
2025-12-04T13:08:02.570468 | Nounouch1 | 26.2°C | 55.8%
2025-12-04T13:10:31.385724 | Nounouch1 | 25.9°C | 55.6%
2025-12-04T13:11:36.398505 | Nounouch1 | 26.0°C | 55.6%
2025-12-04T13:13:07.813626 | Nounouch1 | 26.1°C | 55.5%
